國史館檔案史料文物查詢系統-資料目錄,,,,,,,
輸出數量：,18,,,,,,
,,,,,,,
no,入藏登錄號,卷名,檔案系列,題名摘要,卷件開始日期,卷件結束日期,數位典藏號
1,040000000405A,美援物資輸出入許可證總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/物資運輸,行政院美援運用委員會、經濟部、外交部等單位為控制戰略物資進出口情形並限制物資運往中共區域決議凡向美國購買物資須查明用途出具證明，經濟部電美援會關於美援物資由日輸臺免繳輸入證明書，美援物資輸入許可申請書之印鑑式樣等,1950/12/20,1953/4/25,040-010204-0001
2,040000000419A,美援物資港埠作業總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/物資運輸,行政院美援運用委員會、臺灣省政府交通處等關於美援物資分配地區在本省南部者由高雄進口、北部者由基隆進口為原則，美援會請臺灣省鐵路局優先調撥車皮以便疏運積存基隆港務局倉庫美援物資，軍援船隻停靠高雄港碼頭起卸辦法，美援物資基隆港卸船搬運儲藏及出倉計數問題座談會，高雄港務局及基隆港務局進口美援物資數量估計、美援物資提貨情形、工資及候工費標準表、棧埠業務費率表，美國大使館軍援顧問團補給船隻進出口高雄基隆各港時可免付領港費，運臺美援小麥黃豆卸船包裝事宜等,1950/1/12,1970/2/4,040-010204-0015
3,040000000440A,美援物資公證總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/物資公證,臺灣省政府農林廳檢驗局電行政院美援運用委員會關於美援經費撥款向外採購物資而具有營業性者予以照章征收檢驗費、同意美援食糧進口檢驗手續於卸貨進倉後再行辦理，美援會修正美援物資公證辦法，中央信托局建議邀請本國公證行參加剩餘農產品比價，財政部、經濟部等會商美援物資「救濟物資」及「美援商業採購物資」等檢驗及收費問題等,1951/4/23,1967/3/3,040-010205-0001
4,040000000441A,美援物資公證公司總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/物資公證,萬國公證股份有限公司、中美公證行有限公司、環球公證行有限公司、五洲公證行有限公司、太平洋公證股份有限公司等申請登記辦理美援物資公證暨文件審核事宜，經濟部擬對公證公司加以整頓請美援會提供改進意見等,1952/7/1,1966/12/8,040-010205-0002
5,040000000449A,美援物資倉庫總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/總類,行政院美援運用委員會、臺灣省鐵路管理局貨運服務總所、臺灣省物資局等關於倉庫之租賃及租約、租金及電費、保險等事宜，臺灣省交通處基隆港務局電請美援會籌設內地倉庫便利儲運，臺灣省政府交通處檢送「臺灣省公私倉庫統計圖」請美援會參考，臺灣省物資局召集有關單位商討統籌府屬各單位倉庫辦理情形並檢送「臺灣省倉庫營運會議紀錄」、「臺灣省物資局申請美援無息貸款興建美援物資倉庫計劃書」等,1950/1/10,1970/5/11,040-010201-0034
6,040000000450A,美援物資處理總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/總類,行政院美援運用委員會、美國經濟合作總署中國分署、臺灣省政府等關於美援物資處理辦法、美援輸入物資器材保管方法要點、各團體配售物資遵守事項，中央信托局購料易貨處建議美援會製發配售購買證以防流弊等,1950/5/10,1958/5/21,040-010201-0035
7,040000000486A,美援肥料財務總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/肥料採購,臺灣省糧食局肥料運銷處將儘速設法使各農會將已分發肥料之出售單加速繳送行政院美援運用委員會，美國經濟合作總署中國分署、美援會、糧食局肥料運銷處關於肥料帳戶還款問題及肥料發證之意見,1949/12/15,1950/10/2,040-010207-0003
8,040000000489A,美援肥料分配總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/肥料採購,行政院美援運用委員會、臺灣省糧食局、中國農村復興聯合委員會等關於美援肥料配銷辦法、肥料分配及運用情形、一九五○年第一期實發各種肥料明細表、各級農會承辦一九五二年第二期與一九五三年第一期配肥辦公酬勞費計算比較表、一九五三年稻作肥料分配合約、一九五三年度第一期雜作肥料配售價格座談會紀錄、一九五二至一九五五年度肥料需要量表，臺灣省政府農林廳函送美援會一九五二年第一、二期美援氰氮化鈣分配運用總報告等,1950/2/9,1954/9/13,040-010207-0006
9,040000000680A,美援麵粉配售總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/小麥採購,臺灣農林股份有限公司呈報平價配售麵粉辦法及修訂事宜，臺灣省物資局通知行政院美援運用委員會等單位出席開會商討麵粉交換公教配米辦法，臺灣省商會聯合會、臺灣省製麵商業同業公會聯合會、嘉義縣製麵商業同業公會等單位呈請美援會恢復麵粉配售辦法，中央公教人員及軍眷以配給米交換麵粉案暫停辦理及恢復交換事等,1952/7/28,1958/1/18,040-010208-0050
10,040000000704A,美援潤滑油總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/石油及潤滑油採購,行政院美援運用委員會、懷特工程公司等關於潤滑油種類及用途、臺省潤滑油需要狀況、商業採購潤滑油料海運保險費率及投保金額、撥配美援外匯採購潤滑油事宜、美援潤滑油配銷情形、四十七年度第一、二期潤滑油專案核配辦法要點及聯合審查會議紀錄，臺灣省政府建設廳樟腦局、臺灣航業股份有限公司、招商局輪船股份有限公司、資源委員會臺灣鋁廠等單位檢送潤滑油需用情形表與需要潤滑油脂狀況調查表請美援會查照等,1951/12/14,1959/3/12,040-010211-0006
11,040000000725A,美援石膏總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/鋼鐵及礦物採購,行政院美援運用委員會、臺灣水泥股份有限公司等關於美援石膏之標購與船運事宜，臺泥公司外購石膏申請延期結匯，臺泥公司函請美援會核准臺灣工礦股份有限公司北投陶瓷耐火器材廠以舊石膏模交換該公司天然石膏以利雙方業務需要,1950/5/25,1957/1/8,040-010213-0045
12,040000000755A,美援鐵及鋼總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/鋼鐵及礦物採購,臺灣省政府建設廳函送本省民營工廠軋鋼業調查表一份請行政院美援運用委員會、外匯貿易審議委員會查照參考，永昌泰貿易行向美援會申請參加採購鋼料招標事，臺灣區機器工業同業公會為鋼鐵原料缺乏向美援會申請核撥美援商業採購款項一百萬美金俾向日本進口鋼胚案，行政院經濟安定委員會工業委員會編印「本省創設一貫性鋼鐵廠計劃初步草案摘要」一文送請美援會參考、中央信托局易貨處檢送「查報鋼鐵物資聯繫辦法會議紀錄」一份及修正表式三份供美援會物資處參考等,1950/3/16,1956/8/24,040-010213-0014
13,040000000765A,廢鐵總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/鋼鐵及礦物採購,行政院美援運用委員會、臺灣省政府建設廳、懷特工程公司等關於廢鐵存量及需要量調查表、進口廢鋼及廢鋼鐵處理意見等，美援會請交通部提供有關打撈沉船計劃資料以便參考，中華民國新中國打撈公司、日本東洋海事工業株式會社打撈臺灣區沉船洽議臨時合約，新中國打撈公司撈船範圍及情形，交通部請審計部、中國驗船協會等出席開會擬訂舊船單位價格事等,1951/4/28,1957/3/20,040-010213-0024
14,040000000783A,美援馬口鐵申請及配售總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/鋼鐵及礦物採購,行政院美援運用委員會、臺灣省物資局等關於美援馬口鐵申請及配售事宜，高雄縣商會代南榮罐頭工廠呈工廠設備明細表及生產計劃書請美援會配售馬口鐵三百箱，嘉義縣農會呈請美援會撥配馬口鐵以利經營罐頭工廠，臺灣省物資局馬口鐵皮分配會議紀錄等,1951/6/18,1957/12/19,040-010213-0042
15,040000000786A,美援銅及其製品總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/鋼鐵及礦物採購,臺灣區電工器材工業同業公會為民營工廠所需電積銅事電請行政院美援運用委員會核配工業外匯並由該會統籌辦理進口轉配各廠應用，臺灣省物資局檢送銅料供需會議紀錄一份請美援會查照辦理,1952/1/5,1954/5/14,040-010213-0008
16,040000000848A,美援鹹魚總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援物資採購計畫/其他物資採購,行政院美援運用委員會、臺灣省政府農林廳關於美援採購鹹魚事宜，鹹魚供應商中國進出口行請求證明所繳鹹魚品質，臺灣省農會向美援會洽請申購加拿大鹹魚等,1951/1/12,1955/9/17,040-010217-0026
17,040000001072A,一九六四年度技術協助派員出國受訓案總卷（一）,行政院經濟建設委員會/經合會(52.09-62.08)/美援技術訓練計畫/,一九六四年度美援技術協助訓練計劃方案之擬定與修改、選定出國考察研習人員呈請核准出國及護照核發事宜，行政院新聞局擬選送人員赴菲律賓研習書刊設計請美援會列入第三國訓練計劃，復興航業股份有限公司請於美援計劃內列入航業管理名額，內政部申請在美援項下派員赴美參加都市社會發展訓練班暨中華民國臺北都市社區發展示範計劃草案等,1962/4/5,1964/11/30,040-020200-0004
18,040000001761A,漁業總卷,行政院經濟建設委員會/美援會(37.07-52.09)/美援工業建設/漁業,經濟部漁業增產委員會申請一九五三年MES外匯向國外購買漁船機器案及申請MES資金各案償付辦法，裕豐行申請外購漁船美援外匯案核辦情形，臺灣農林股份有限公司函送美國安全總署所送新造船規範及有關函件請行政院美援運用委員會查照辦理，臺灣農林股份有限公司水產分公司請美援會協辦新船報關手續等,1952/6/5,1955/8/8,040-010412-0001
